La forma dell'acqua
Sentiment
Positive
Neutral
Neutral
Positive
Positive
Positive
Positive
Negative
Negative
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Neutral
Positive
Positive
Positive
Positive
Positive
Neutral
Positive
Positive
Neutral
Neutral
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Neutral
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Neutral
Positive
Positive
Neutral
Neutral
Positive
Positive
Positive
Positive
Positive
Neutral
Positive
Positive
Positive
Positive
Positive
Neutral
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Neutral
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Negative
Neutral
Positive
Positive
Positive
Positive
Positive
Negative
