Green book
Sentiment
Positive
Positive
Positive
Positive
Neutral
Positive
Positive
Negative
Neutral
Positive
Negative
Negative
Positive
Positive
Negative
Positive
Neutral
Neutral
Positive
Positive
Positive
Negative
Negative
Positive
Negative
Neutral
Negative
Positive
Neutral
Positive
Positive
Positive
Positive
Negative
Negative
Positive
Negative
Positive
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Negative
Neutral
Positive
Negative
Positive
Positive
Positive
Neutral
Positive
