L'appartamento
Sentiment
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Neutral
Neutral
Negative
Positive
Positive
Neutral
Neutral
Positive
Positive
Positive
Negative
Neutral
Positive
Positive
Positive
Neutral
Positive
Positive
Neutral
Neutral
Positive
Negative
