La mia Africa
Sentiment
Positive
Positive
Positive
Neutral
Positive
Neutral
Positive
Neutral
Positive
Positive
Positive
Positive
Negative
Negative
Positive
Positive
Neutral
Positive
Positive
Positive
Positive
Positive
Positive
Negative
Positive
Negative
Positive
Negative
Neutral
Positive
Positive
