12 anni schiavo
Sentiment
Negative
Negative
Positive
Neutral
Positive
Positive
Positive
Negative
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Negative
Positive
Negative
Negative
Positive
Negative
Positive
Positive
Positive
Neutral
Neutral
Positive
Positive
Positive
Neutral
Positive
Neutral
Negative
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Neutral
Neutral
Positive
Positive
Positive
Neutral
Positive
Negative
Positive
Positive
Neutral
Positive
Positive
Negative
Positive
Negative
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Negative
Positive
Neutral
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Negative
Positive
