Rain Man
Sentiment
Negative
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Neutral
Positive
Neutral
Positive
Positive
Positive
Positive
Negative
Positive
Negative
Positive
Negative
