Moonlight
Sentiment
Negative
Positive
Positive
Positive
Neutral
Positive
Negative
Positive
Positive
Neutral
Neutral
Positive
Positive
Positive
Positive
Positive
Negative
Positive
Negative
Positive
Positive
Neutral
Positive
Positive
Neutral
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Negative
Positive
Negative
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Positive
Positive
Neutral
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Neutral
Positive
Positive
Positive
Neutral
Negative
Positive
Positive
Positive
Positive
Neutral
Negative
Positive
Negative
Positive
Neutral
Positive
Positive
Neutral
