A spasso con Daisy
Sentiment
Neutral
Positive
Negative
Positive
Positive
Positive
Negative
Negative
Positive
Neutral
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Neutral
Positive
Positive
Negative
Positive
Negative
Positive
Positive
Neutral
Positive
Positive
Positive
