Il discorso del re
Sentiment
Positive
Positive
Neutral
Positive
Positive
Neutral
Positive
Positive
Positive
Positive
Positive
Neutral
Positive
Neutral
Negative
Positive
Neutral
Negative
Positive
Positive
Negative
Negative
Neutral
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Negative
Neutral
Positive
Positive
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Negative
Neutral
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Neutral
Positive
Positive
Positive
Negative
Negative
Positive
Neutral
Positive
Positive
Neutral
Positive
Positive
Neutral
