Lawrence di Arabia
Sentiment
Negative
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Negative
Positive
Positive
Neutral
Positive
Negative
Positive
Positive
Negative
Positive
Positive
Positive
Negative
Negative
Positive
Positive
Neutral
Positive
Positive
Positive
Positive
Negative
Neutral
Positive
Negative
Negative
