Crash
Sentiment
Negative
Positive
Positive
Negative
Positive
Negative
Positive
Positive
Negative
Neutral
Negative
Positive
Positive
Positive
Neutral
Positive
Positive
Positive
Positive
Neutral
Negative
Positive
Negative
Positive
Positive
Negative
Positive
Positive
Negative
Positive
Positive
Negative
Positive
Positive
Neutral
Negative
Positive
Positive
Positive
Positive
Positive
Negative
Negative
Positive
Positive
Neutral
Neutral
Positive
Negative
Positive
Positive
Positive
Neutral
Negative
Positive
Positive
Positive
Positive
Positive
