Forrest Gump
Sentiment
Positive
Negative
Positive
Negative
Negative
Positive
Positive
Positive
Positive
Positive
Positive
Neutral
Negative
Positive
Positive
Positive
Positive
Negative
Neutral
Negative
Positive
Negative
Negative
Positive
Negative
Positive
Negative
Positive
Positive
Neutral
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Neutral
Positive
Positive
Negative
Neutral
Positive
Negative
Positive
Positive
Positive
Negative
