Hotel Rwanda
Sentiment
Positive
Negative
Negative
Positive
Positive
Negative
Positive
Positive
Negative
Negative
Positive
Positive
Negative
Positive
Negative
Positive
Positive
Positive
Neutral
Positive
Positive
Positive
Neutral
Positive
Positive
Neutral
Negative
Negative
Positive
Positive
Neutral
Neutral
Positive
Positive
Positive
Positive
Positive
Negative
Neutral
Positive
Positive
Positive
Positive
Positive
Negative
Negative
