Gran Torino
Sentiment
Negative
Negative
Neutral
Neutral
Neutral
Negative
Positive
Negative
Positive
Neutral
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Positive
Neutral
Neutral
Negative
Positive
Neutral
Positive
Neutral
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Neutral
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Negative
Negative
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Negative
Negative
Positive
Positive
Neutral
Positive
Positive
Positive
Neutral
Neutral
Neutral
Positive
