Wonder
Sentiment
Negative
Positive
Positive
Negative
Negative
Positive
Positive
Positive
Positive
Neutral
Positive
Neutral
Positive
Positive
Positive
Positive
Positive
Positive
Neutral
Neutral
Neutral
Neutral
Positive
Negative
Positive
Negative
Positive
Neutral
Negative
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Negative
Neutral
Positive
Neutral
Positive
Negative
Positive
Positive
Neutral
Negative
Positive
Positive
