The danish girl
Sentiment
Positive
Neutral
Positive
Positive
Positive
Positive
Positive
Negative
Neutral
Positive
Neutral
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Neutral
Negative
Positive
Neutral
Positive
Positive
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Positive
Neutral
Positive
Positive
Negative
Neutral
Negative
Positive
Positive
Positive
Neutral
Neutral
Positive
Positive
Positive
Positive
Positive
Negative
Positive
Negative
Positive
Neutral
Positive
Positive
Positive
Positive
Positive
Positive
