Erin Brockovich
Sentiment
Positive
Positive
Neutral
Positive
Neutral
Neutral
Neutral
Negative
Neutral
Positive
Positive
Positive
Positive
Positive
Positive
Neutral
Neutral
Positive
Positive
Positive
Positive
Positive
Neutral
Positive
Positive
Neutral
Neutral
Negative
Positive
Neutral
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Neutral
