La vita è bella
Sentiment
Neutral
Neutral
Neutral
Positive
Positive
Neutral
Positive
Negative
Positive
Negative
Positive
Positive
Negative
Positive
Positive
Neutral
Positive
Positive
Positive
Positive
Negative
Positive
