Youth
Sentiment
Negative
Positive
Negative
Neutral
Negative
Positive
Positive
Negative
Positive
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Neutral
Positive
Positive
Negative
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Positive
Neutral
Positive
Positive
Positive
Neutral
Positive
Positive
Neutral
Neutral
Positive
Positive
Positive
Positive
Positive
Negative
Positive
Positive
Negative
Positive
